statusId | label
3|jump
statusId|sensorName|value|timestamp
3|K3DH Acceleration Sensor|[0.6810174,2.083913,8.975809]|1395667125601
3|Gravity Sensor|[-0.31224594,2.2595353,9.53391]|1395667125602
3|Linear Acceleration Sensor|[0.99326336,-0.17562222,-0.5581007]|1395667125601
3|K3DH Acceleration Sensor|[0.7082581,2.0566726,8.853226]|1395667125612
3|Gravity Sensor|[-0.3064709,2.2578735,9.52205]|1395667125612
3|Linear Acceleration Sensor|[1.014729,-0.20120096,-0.6688242]|1395667125612
3|K3DH Acceleration Sensor|[0.7082581,2.1247742,8.785124]|1395667125622
3|Gravity Sensor|[-0.29990458,2.2556634,9.510836]|1395667125622
3|Linear Acceleration Sensor|[1.0081627,-0.13088918,-0.7257118]|1395667125622
3|K3DH Acceleration Sensor|[0.7491191,2.0430522,8.635301]|1395667125632
3|Gravity Sensor|[-0.2924823,2.252934,9.500288]|1395667125631
3|Linear Acceleration Sensor|[1.0416014,-0.20988178,-0.8649874]|1395667125632
3|K3DH Acceleration Sensor|[0.7627395,1.8932283,8.3765135]|1395667125642
3|Gravity Sensor|[-0.2839505,2.2496262,9.490365]|1395667125642
3|Linear Acceleration Sensor|[1.04669,-0.35639787,-1.1138515]|1395667125642
3|K3DH Acceleration Sensor|[0.7627395,1.7297841,8.158588]|1395667125652
3|Gravity Sensor|[-0.27392948,2.245638,9.480954]|1395667125653
3|Linear Acceleration Sensor|[1.036669,-0.51585376,-1.3223658]|1395667125652
3|K3DH Acceleration Sensor|[0.6946377,1.7025435,8.090487]|1395667125663
3|Gravity Sensor|[-0.26257545,2.241095,9.471921]|1395667125663
3|Linear Acceleration Sensor|[0.95721316,-0.53855157,-1.3814344]|1395667125663
3|K3DH Acceleration Sensor|[0.8036005,1.8251266,8.21307]|1395667125673
3|Gravity Sensor|[-0.25003892,2.2360928,9.463108]|1395667125672
3|Linear Acceleration Sensor|[1.0536394,-0.41096616,-1.2500381]|1395667125673
3|K3DH Acceleration Sensor|[1.3484144,1.7978859,8.335652]|1395667125684
3|Gravity Sensor|[-0.23568518,2.2304068,9.45415]|1395667125684
3|Linear Acceleration Sensor|[1.5840997,-0.43252087,-1.1184978]|1395667125684
3|K3DH Acceleration Sensor|[1.5118586,1.8387469,8.281172]|1395667125694
3|Gravity Sensor|[-0.21974474,2.2241433,9.444879]|1395667125693
3|Linear Acceleration Sensor|[1.7316034,-0.38539636,-1.1637068]|1395667125693
3|K3DH Acceleration Sensor|[1.607201,1.7434045,8.104107]|1395667125704
3|Gravity Sensor|[-0.20212404,2.2172894,9.435031]|1395667125703
3|Linear Acceleration Sensor|[1.809325,-0.47388494,-1.330924]|1395667125704
3|K3DH Acceleration Sensor|[1.2394516,1.6753027,7.6273947]|1395667125714
3|Gravity Sensor|[-0.18274048,2.2098455,9.424367]|1395667125714
3|Linear Acceleration Sensor|[1.4221921,-0.5345428,-1.7969723]|1395667125714
3|K3DH Acceleration Sensor|[0.667397,1.3756552,7.2187843]|1395667125725
3|Gravity Sensor|[-0.16148056,2.2018003,9.412631]|1395667125724
3|Linear Acceleration Sensor|[0.82887757,-0.8261452,-2.1938467]|1395667125725
3|K3DH Acceleration Sensor|[0.667397,0.980665,7.096201]|1395667125734
3|Gravity Sensor|[-0.13830829,2.19315,9.39958]|1395667125735
3|Linear Acceleration Sensor|[0.8057053,-1.2124851,-2.303379]|1395667125734
3|K3DH Acceleration Sensor|[0.40861043,0.7763598,7.3005066]|1395667125745
3|Gravity Sensor|[-0.113152325,2.1838381,9.384891]|1395667125745
3|Linear Acceleration Sensor|[0.5217627,-1.4074783,-2.084384]|1395667125745
3|K3DH Acceleration Sensor|[1.0215261,0.84446156,7.7363577]|1395667125754
3|Gravity Sensor|[-0.0863987,2.1739204,9.368545]|1395667125755
3|Linear Acceleration Sensor|[1.1079248,-1.3294588,-1.6321869]|1395667125754
3|K3DH Acceleration Sensor|[1.2803127,1.1441092,8.036005]|1395667125765
3|Gravity Sensor|[-0.05748515,2.1630368,9.34971]|1395667125765
3|Linear Acceleration Sensor|[1.3377978,-1.0189276,-1.3137054]|1395667125765
3|K3DH Acceleration Sensor|[1.4165162,1.4709976,8.090487]|1395667125775
3|Gravity Sensor|[-0.026862212,2.1512036,9.328468]|1395667125776
3|Linear Acceleration Sensor|[1.4433784,-0.68020606,-1.2379818]|1395667125776
3|K3DH Acceleration Sensor|[1.6344417,1.7161638,7.749978]|1395667125785
3|Gravity Sensor|[0.0053540245,2.1383095,9.304663]|1395667125786
3|Linear Acceleration Sensor|[1.6290877,-0.42214572,-1.5546846]|1395667125785
3|K3DH Acceleration Sensor|[1.8659877,2.0975335,7.8317]|1395667125796
3|Gravity Sensor|[0.039117675,2.12425,9.278147]|1395667125795
3|Linear Acceleration Sensor|[1.82687,-0.02671647,-1.4464469]|1395667125796
3|K3DH Acceleration Sensor|[1.9749504,1.8387469,7.8861814]|1395667125806
3|Gravity Sensor|[0.073761754,2.1093411,9.249611]|1395667125805
3|Linear Acceleration Sensor|[1.9011887,-0.27059424,-1.3634295]|1395667125806
3|K3DH Acceleration Sensor|[2.002191,1.56634,8.022385]|1395667125816
3|Gravity Sensor|[0.11034602,2.092976,9.21771]|1395667125816
3|Linear Acceleration Sensor|[1.891845,-0.5266361,-1.1953249]|1395667125816
3|K3DH Acceleration Sensor|[1.6616824,1.3211738,8.19945]|1395667125826
3|Gravity Sensor|[0.14831266,2.0755363,9.183173]|1395667125827
3|Linear Acceleration Sensor|[1.5133697,-0.75436246,-0.98372364]|1395667125827
3|K3DH Acceleration Sensor|[1.607201,1.0623871,8.894087]|1395667125836
3|Gravity Sensor|[0.18761718,2.0571308,9.1461735]|1395667125837
3|Linear Acceleration Sensor|[1.4195838,-0.9947437,-0.25208664]|1395667125836
3|K3DH Acceleration Sensor|[1.607201,0.9942854,9.588725]|1395667125847
3|Gravity Sensor|[0.22826861,2.0378299,9.106878]|1395667125847
3|Linear Acceleration Sensor|[1.3789324,-1.0435445,0.4818468]|1395667125847
3|K3DH Acceleration Sensor|[1.7978859,0.8308412,10.051817]|1395667125857
3|Gravity Sensor|[0.27023834,2.0176952,9.065573]|1395667125857
3|Linear Acceleration Sensor|[1.5276475,-1.186854,0.9862442]|1395667125857
3|K3DH Acceleration Sensor|[2.0294318,0.7354988,10.119919]|1395667125867
3|Gravity Sensor|[0.31347156,1.9967685,9.022665]|1395667125868
3|Linear Acceleration Sensor|[1.7159603,-1.2612697,1.0972538]|1395667125867
3|K3DH Acceleration Sensor|[2.083913,0.87170225,10.392325]|1395667125877
3|Gravity Sensor|[0.35798976,1.9750226,8.9786]|1395667125878
3|Linear Acceleration Sensor|[1.7259233,-1.1033204,1.4137259]|1395667125878
3|K3DH Acceleration Sensor|[2.669588,1.3756552,10.487668]|1395667125888
3|Gravity Sensor|[0.4035836,1.9525378,8.934126]|1395667125887
3|Linear Acceleration Sensor|[2.2660046,-0.5768826,1.5535421]|1395667125888
3|K3DH Acceleration Sensor|[3.0645783,1.1168685,10.378705]|1395667125898
3|Gravity Sensor|[0.45030603,1.9292635,8.889855]|1395667125898
3|Linear Acceleration Sensor|[2.6142724,-0.812395,1.4888496]|1395667125898
3|K3DH Acceleration Sensor|[3.2961242,0.9125633,10.242501]|1395667125909
3|Gravity Sensor|[0.49814656,1.9052174,8.846514]|1395667125908
3|Linear Acceleration Sensor|[2.7979777,-0.9926541,1.3959875]|1395667125908
3|K3DH Acceleration Sensor|[3.405087,0.58567494,10.351464]|1395667125919
3|Gravity Sensor|[0.5471668,1.8804156,8.804822]|1395667125918
3|Linear Acceleration Sensor|[2.8579202,-1.2947407,1.5466423]|1395667125918
3|K3DH Acceleration Sensor|[3.4187074,0.19068487,10.8281765]|1395667125929
3|Gravity Sensor|[0.59744453,1.8548865,8.76549]|1395667125928
3|Linear Acceleration Sensor|[2.8212628,-1.6642016,2.062687]|1395667125929
3|K3DH Acceleration Sensor|[3.2688835,0.027240695,11.386611]|1395667125939
3|Gravity Sensor|[0.6491493,1.828606,8.729192]|1395667125939
3|Linear Acceleration Sensor|[2.6197343,-1.8013653,2.6574192]|1395667125938
3|K3DH Acceleration Sensor|[3.091819,0.040861044,11.849703]|1395667125949
3|Gravity Sensor|[0.7024375,1.8015299,8.696592]|1395667125949
3|Linear Acceleration Sensor|[2.3893814,-1.7606689,3.1531105]|1395667125949
